feature_bin,playlist_count,mean_value,median_value,median_feature_value,feature,feature_label,success_metric,success_metric_label
25-49,4442,0.6794699106821697,0.6666666666666666,33.0,recent_track_change,Recent track change,retention_rate,Continuity rate
50+,4154,0.674224961052579,0.6666666666666666,88.0,recent_track_change,Recent track change,retention_rate,Continuity rate
1,275158,149.94186249354917,19.0,1.0,owner_playlist_count,Owner playlist count,non_owner_monthly_stream30s,Non-owner monthly 30s streams
2,73492,209.25038099384966,23.0,2.0,owner_playlist_count,Owner playlist count,non_owner_monthly_stream30s,Non-owner monthly 30s streams
3-4,44313,289.3046510053483,23.0,3.0,owner_playlist_count,Owner playlist count,non_owner_monthly_stream30s,Non-owner monthly 30s streams
5-9,18707,1133.9909659485754,24.0,6.0,owner_playlist_count,Owner playlist count,non_owner_monthly_stream30s,Non-owner monthly 30s streams
10-24,4790,1076.9016701461378,25.0,13.0,owner_playlist_count,Owner playlist count,non_owner_monthly_stream30s,Non-owner monthly 30s streams
25+,625,14749.1824,30.0,37.0,owner_playlist_count,Owner playlist count,non_owner_monthly_stream30s,Non-owner monthly 30s streams
1,275158,92.98247409559188,28.0,1.0,owner_playlist_count,Owner playlist count,monthly_stream30s_per_mau,Monthly 30s streams per active user
2,73492,46.29123201513996,24.5,2.0,owner_playlist_count,Owner playlist count,monthly_stream30s_per_mau,Monthly 30s streams per active user
3-4,44313,39.764506156621415,22.5,3.0,owner_playlist_count,Owner playlist count,monthly_stream30s_per_mau,Monthly 30s streams per active user
5-9,18707,29.437293368721953,17.25,6.0,owner_playlist_count,Owner playlist count,monthly_stream30s_per_mau,Monthly 30s streams per active user
10-24,4790,18.048450652415834,11.0,13.0,owner_playlist_count,Owner playlist count,monthly_stream30s_per_mau,Monthly 30s streams per active user
25+,625,9.681033839698289,7.7,37.0,owner_playlist_count,Owner playlist count,monthly_stream30s_per_mau,Monthly 30s streams per active user
1,240341,0.614591164280219,0.5,1.0,owner_playlist_count,Owner playlist count,retention_rate,Continuity rate
2,65820,0.6662135966714743,0.6666666666666666,2.0,owner_playlist_count,Owner playlist count,retention_rate,Continuity rate
3-4,38848,0.6877783982168223,0.6666666666666666,3.0,owner_playlist_count,Owner playlist count,retention_rate,Continuity rate
5-9,15884,0.6347773857213719,0.5909090909090909,6.0,owner_playlist_count,Owner playlist count,retention_rate,Continuity rate
10-24,3835,0.4726048787672711,0.4077669902912621,13.0,owner_playlist_count,Owner playlist count,retention_rate,Continuity rate
25+,486,0.2386836953410483,0.16706292370858397,37.0,owner_playlist_count,Owner playlist count,retention_rate,Continuity rate
0,46671,82.16856291915751,8.0,0.0,n_title_tokens,# title tokens,non_owner_monthly_stream30s,Non-owner monthly 30s streams
1,145033,152.00788096502174,20.0,1.0,n_title_tokens,# title tokens,non_owner_monthly_stream30s,Non-owner monthly 30s streams
2,145933,225.8829942507863,23.0,2.0,n_title_tokens,# title tokens,non_owner_monthly_stream30s,Non-owner monthly 30s streams
3,49539,430.60651204101816,26.0,3.0,n_title_tokens,# title tokens,non_owner_monthly_stream30s,Non-owner monthly 30s streams
4+,29909,831.5025243237822,29.0,4.0,n_title_tokens,# title tokens,non_owner_monthly_stream30s,Non-owner monthly 30s streams
0,46671,275.9951058057808,57.5,0.0,n_title_tokens,# title tokens,monthly_stream30s_per_mau,Monthly 30s streams per active user
1,145033,57.824397311280535,29.0,1.0,n_title_tokens,# title tokens,monthly_stream30s_per_mau,Monthly 30s streams per active user
2,145933,48.43692699063192,23.4,2.0,n_title_tokens,# title tokens,monthly_stream30s_per_mau,Monthly 30s streams per active user
3,49539,41.359006473845504,19.5,3.0,n_title_tokens,# title tokens,monthly_stream30s_per_mau,Monthly 30s streams per active user
4+,29909,33.679971816282816,15.5,4.0,n_title_tokens,# title tokens,monthly_stream30s_per_mau,Monthly 30s streams per active user
0,28548,0.7309408188817584,1.0,0.0,n_title_tokens,# title tokens,retention_rate,Continuity rate
1,129905,0.7219816055316224,1.0,1.0,n_title_tokens,# title tokens,retention_rate,Continuity rate
2,133635,0.600627885254929,0.5,2.0,n_title_tokens,# title tokens,retention_rate,Continuity rate
3,45289,0.5216953937811108,0.5,3.0,n_title_tokens,# title tokens,retention_rate,Continuity rate
4+,27837,0.4218775027088095,0.3333333333333333,4.0,n_title_tokens,# title tokens,retention_rate,Continuity rate
